,first-author-affiliation,last-author-affiliation,title
0," LIP6, UPMC, Paris, France and Irstea, LISC, Aubiere Cedex, France"," ISC-PIF, Paris, France",Assessing the resilience of socio-ecosystems: coupling viability theory and active learning with kd-trees. application to bilingual societies
1," Department of Computer Science, University of Rochester, Rochester, NY"," Department of Computer Science, University of Rochester, Rochester, NY",Towards understanding global spread of disease from everyday interpersonal interactions
2," Beihang University, China"," Aston University, United Kingdom",Short-term wind power forecasting using Gaussian processes
3," Department of Computer and Information Sciences, Temple University"," Department of Computer and Information Sciences, Temple University",Semi-supervised learning for integration of aerosol predictions from multiple satellite instruments
4," Department of Computer Science, Virginia Tech"," Department of Computer Science, Virginia Tech",Deep sparse coding based recursive disaggregation model for water conservation
5," The Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China and University of Chinese Academy of Sciences, Beijing, China"," The Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China",Optimal pricing for improving efficiency of taxi systems
6," Texas Tech University, Lubbock, Texas"," USDA-ARS, Bushland, Texas",Estimating reference evapotranspiration for irrigation management in the texas high plains
7, IBM India Research Labs, IBM India Research Labs,Information fusion based learning for frugal traffic state sensing
8," School of Information System, Singapore Management University"," DHL Supply Chain, Singapore",A multi-objective memetic algorithm for vehicle resource allocation in sustainable transportation planning
9," Computer Science Dept., Cornell University, Ithaca, NY"," Materials Science and Engr. Dept., Cornell University, Ithaca, NY",Crowdsourcing backdoor identification for combinatorial optimization
10, Université Libre de Bruxelles," Université Libre de Bruxelles and AI lab, Vrije Universiteit Brussel, Belgium",Evolution of common-pool resources and social welfare in structured populations
11," Department of Computer Science, Sun Yat-sen University, Guangzhou, China"," Department of Computer Science, Sun Yat-sen University, Guangzhou, China",Tag-weighted topic model for mining semi-structured documents
12," Machine Intelligence Laboratory, College of Computer Science, Sichuan University, Chengdu, P. R. China"," Machine Intelligence Laboratory, College of Computer Science, Sichuan University, Chengdu, P. R. China",Manifold alignment based on sparse local structures of more corresponding pairs
13," Tianjin Key Laboratory of Cognitive Computing and Application, Tianjin University, China"," Tianjin Key Laboratory of Cognitive Computing and Application, Tianjin University, China and The Open University, UK",A global constrained optimization method for designing road networks with small diameters
14, NICTA, University of Sydney,Bayesian joint inversions for the exploration of earth resources
15," Institute of Computing, University of Campinas, Campinas, Brazil"," Institute of Computing, University of Campinas, Campinas, Brazil",Dynamic taxi and ridesharing: a framework and heuristics for the optimization problem
16," Department of Informatics, University of Zurich"," Department of Informatics, University of Zurich",An active learning approach to home heating in the smart grid
17," Optimisation Research Group, NICTA"," Optimisation Research Group, NICTA",Planning with MIP for supply restoration in power distribution systems
18," University of Southampton, UK"," University of Southampton, UK",Forecasting multi-appliance usage for smart home energy management
19," NICTA and Australian National University, Australia"," NICTA and Australian National University, Australia",Randomized load control: a simple distributed approach for scheduling smart appliances
20," School of Computer Science, University of Massachusetts, Amherst, MA"," School of Computer Science, University of Massachusetts, Amherst, MA",Parameter learning for latent network diffusion
21, Shanghai Jiao Tong University and IBM Research - China, IBM Research - China,Towards effective prioritizing water pipe replacement and rehabilitation
22," IBM Research, Tokyo, Japan"," IBM Research, Tokyo, Japan",Improved integer programming approaches for chance-constrained stochastic programming
23," Electronics and Computer Science, University of Southampton, Southampton, UK"," Electronics and Computer Science, University of Southampton, Southampton, UK",A hidden Markov model-based acoustic cicada detector for crowdsourced smartphone biodiversity monitoring
