,first-author-affiliation,last-author-affiliation,title
0," IBM Research, Bangalore, India"," IBM Research, Bangalore, India",Link label prediction in signed social networks
1," University of Texas at Arlington, Arlington, Texas"," University of Texas at Arlington, Arlington, Texas",Multi-view K-means clustering on big data
2," Shenzhen Research Institute, The Chinese University of Hong Kong, Shenzhen, China and Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong"," Shenzhen Research Institute, The Chinese University of Hong Kong, Shenzhen, China and Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong",Where you like to go next: successive point-of-interest recommendation
3," School of Software, Tsinghua University, Beijing, China"," Hong Kong University of Science and Technology, Hong Kong, China",Celebrity recommendation with collaborative social topic regression
4," Nanyang Technological University, Singapore"," American University of Beirut, Lebanon, and University of Cambridge, UK and Nanyang Technological University, Singapore",A novel Bayesian similarity measure for recommender systems
5," Dept of CSE, Shanghai Jiaotong University"," Advanced Analytics Institute, University of Technology Sydney",Cross-domain collaborative filtering via bilinear multilevel analysis
6," Computer Science and Engineering, Arizona State University"," Computer Science and Engineering, Arizona State University",Social spammer detection in microblogging
7," Department of Computer Science, Arizona State University, Tempe, AZ"," Department of Computer Science, Arizona State University, Tempe, AZ",Listening to the crowd: automated analysis of events via aggregated twitter sentiment
8," University of Texas at Arlington, Arlington, TX"," University of Texas at Arlington, Arlington, TX",Social trust prediction using rank-k matrix recovery
9," Computer Science Department, KAIST, Daejeon, Korea"," Computer Science Department, KAIST, Daejeon, Korea",Context-dependent conceptualization
10," IBM Dublin Research Center, Ireland"," University of Aberdeen, UK",Predicting knowledge in an ontology stream
11," Shenzhen Research Institute, The Chinese University of Hong Kong, Shenzhen, China and Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong"," Shenzhen Research Institute, The Chinese University of Hong Kong, Shenzhen, China and Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong",A unified framework for reputation estimation in online rating systems
12, University of Washington, Google Research,Synthesizing union tables from the web
13," École Politechnique Fédérale de Lausanne, Switzerland"," École Politechnique Fédérale de Lausanne, Switzerland",Recommendation using textual opinions
14," Department of Computer Science, Hong Kong Baptist University, Hong Kong"," Department of Computer Science, Hong Kong Baptist University, Hong Kong",GBPR: group preference based Bayesian personalized ranking for one-class collaborative filtering
15," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Dept. of Computer Science and Technology, Tsinghua University, Beijing, China"," State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Dept. of Computer Science and Technology, Tsinghua University, Beijing, China",Promoting diversity in recommendation by entropy regularizer
16," Department of Computer Science and Engineering, The Chinese University of Hong Kong"," Department of Computer Science and Engineering, The Chinese University of Hong Kong",SCMF: sparse covariance matrix factorization for collaborative filtering
17," Computer Science and Engineering, Arizona State University, Tempe, AZ"," Computer Science and Engineering, Arizona State University, Tempe, AZ",Exploiting local and global social context for recommendation
18," Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University, China"," Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University, China",Collaborative topic regression with social regularization for tag recommendation
19," Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University, China"," Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University, China",Online egocentric models for citation networks
20," College of Information Science and Technology, Beijing Normal University"," Department of Computer Science and Technology, Tsinghua University",Boosting cross-lingual knowledge linking via concept annotation
21," School of Computer Science and Technology, University of Science and Technology of China"," School of Computer Science and Technology, University of Science and Technology of China",Pagerank with priors: an influence propagation perspective
22," School of Computer Science and Technology, Jilin University, China"," Department of Computer Science, Hong Kong Baptist University, Hong Kong",Social collaborative filtering by trust
23," School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China"," School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China",Parametric local multimodal hashing for cross-view similarity search
24," Department of Computer Science and Technology, Tsinghua University, China"," Department of Computer Science and Technology, Tsinghua University, China",Social influence locality for modeling retweeting behaviors
25," School of Computer Science, Shanghai Key Laboratory of Intelligent Information Processing, Fudan University, Shanghai, China"," Department of Computer Science, The University of North Carolina at Charlotte",Automatic name-face alignment to enable cross-media news retrieval
