,first-author-affiliation,last-author-affiliation,title
0," NICTA and Australian National University, Australia"," University of Waterloo, Canada",Learning community-based preferences via dirichlet process mixtures of Gaussian processes
1," Istituto ""Dalle Molle"" di Studi sull'Intelligenza Artificiale, Manno, Switzerland"," Istituto Sistemi Informativi e Networking, Manno, Switzerland",An ensemble of Bayesian networks for multilabel classification
2," Department of Informatics, University of Hamburg, Germany"," Department of Informatics, University of Hamburg, Germany",Self-organized neural learning of statistical inference from high-dimensional data
3," Data Analysis and Modeling Lab, Department of Computer Science, Palacky University, Olomouc, Czech Republic"," Data Analysis and Modeling Lab, Department of Computer Science, Palacky University, Olomouc, Czech Republic",Basic level in formal concept analysis: interesting concepts and psychological ramifications
4," University of Texas at Arlington, Arlington, Texas"," University of Texas at Arlington, Arlington, Texas","Exact top-k feature selection via l2,0-norm constraint"
5," State Key Laboratory of Management and Control for Complex Systems, Institute of Automations, Chinese Academy of Science, Beijing, China", [email protected],Regularized latent least square regression for cross pose face recognition
6," Tianjin Key Laboratory of Cognitive Computing and Application, School of Computer Science and Technology, Tianjin University and State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences"," State Key Laboratory of Information Security, Institute of Information Engineering, Chinese Academy of Sciences",Robust tensor clustering with non-greedy maximization
7," Fujian Normal University, China"," University of Sherbrooke, Canada",Central clustering of categorical data with automated feature weighting
8," Department of Electronic Engineering, The Chinese University of Hong Kong"," Department of Electronic Engineering, The Chinese University of Hong Kong",Dimensionality reduction with generalized linear models
9," Dept. of CS & T, TNList Lab, State Key Lab of ITS, Tsinghua University, Beijing, China"," Dept. of CS & T, TNList Lab, State Key Lab of ITS, Tsinghua University, Beijing, China",Generalized relational topic models with data augmentation
10," Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO"," Department of Computer Science and Engineering, Washington University in St. Louis, St. Louis, MO",Domain adaptation with topical correspondence learning
11," Department of Computer Science, Korea Advanced Institute of Science and Technology, Daejeon, Korea"," Department of Computer Science, Korea Advanced Institute of Science and Technology, Daejeon, Korea",Bayesian nonparametric feature construction for inverse reinforcement learning
12," Department of Mathematics, University of Padova, Italy"," Department of Mathematics, University of Padova, Italy",A lossy counting based approach for learning on streams of graphs on a budget
13, MIT, MIT,Bootstrap learning via modular concept discovery
14," Centre for Sensor Web Technologies, School of Computer Science and Informatics, University College Dublin, Ireland"," Centre for Sensor Web Technologies, School of Computer Science and Informatics, University College Dublin, Ireland",Topic extraction from online reviews for classification and recommendation
15," State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences and University of Chinese Academy of Sciences, Beijing, China"," State Key Laboratory of Computer Science, Institute of Software, Chinese Academy of Sciences, Beijing, China",Towards robust co-clustering
16," Electrical and Computer Engineering, Concordia University, Canada"," Institute for Information Systems Engineering, Concordia University, Canada",Learning finite Beta-Liouville mixture models via variational bayes for proportional data clustering
17," School of Computing, Engineering & Mathematics, University of Western Sydney, Australia"," Gippsland School of Information Technology, Monash University, Australia",Optimizing cepstral features for audio classification
18," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China"," National Key Laboratory for Novel Software Technology, Nanjing University, Nanjing, China","Uniform convergence, stability and learnability for ranking problems"
19, ETH Zurich, ETH Zurich,Active learning for level set estimation
20," Department of Computer and Systems Engineering, Alexandria University, Alexandria, Egypt"," Microsoft Research Advanced Technology Lab Cairo, Cairo, Egypt",Histogram of oriented displacements (HOD): describing trajectories of human joints for action recognition
21, Yahoo! Labs, Temple University,Multi-prototype label ranking with novel pairwise-to-total-rank aggregation
22," Department of Computer Science, KU Leuven"," Department of Computer Science, KU Leuven",MiningZinc: a modeling language for constraint-based mining
23," Department of Computer and Information Sciences, Temple University, Philadelphia, PA"," Department of Computer and Information Sciences, Temple University, Philadelphia, PA",Probabilistic multi-label classification with sparse feature learning
24," School of Computer Science and Technology, Tianjin University, China and Tianjin Key Laboratory of Cognitive Computing and Application"," School of Information Technology & Electrical Engineering, The University of Queensland",Co-regularized ensemble for feature selection
25," Computer Science Department, Stevens Institute of Technology"," BAMS, IBM Research",Improving traffic prediction with tweet semantics
26," Department of Computer Science, National University of Singapore, Republic of Singapore"," Department of Computer Science, National University of Singapore, Republic of Singapore",A general framework for interacting bayes-optimally with self-interested agents using arbitrary parametric model and model prior
27," Dept. of Computer Science and Technology, Tsinghua University, China"," Dept. of Computer Science and Technology, Tsinghua University, China",What users care about: a framework for social content alignment
28," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong and Department of Mathematics, Yunnan Normal University, Yunnan, China"," Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong",Efficient kernel learning from side information using ADMM
29," State Key Lab of CAD&CG, College of Computer Science,, Zhejiang University, Hangzhou, China"," State Key Lab of CAD&CG, College of Computer Science,, Zhejiang University, Hangzhou, China",Active learning via neighborhood reconstruction
30," Guangdong Province Key Laboratory of Computational Science, School of Information Science and Technology, Sun Yat-sen University, China"," Guangdong Province Key Laboratory of Computational Science, School of Information Science and Technology, Sun Yat-sen University, China",Online hashing
31," Department of Computer Science, Cornell University"," Department of Computer Science, Cornell University",Discovering different types of topics: factored topic models
32," BWBP Artificial Intelligence Laboratory, Japan"," National Defense Academy of Japan, Japan",Prior-free exploration bonus for and beyond near bayes-optimal behavior
33," Stevens Institute of Technology Hoboken, NJ"," Stevens Institute of Technology Hoboken, NJ",Causal inference with rare events in large-scale time-series data
34, Universität Stuttgart, INRIA Bordeaux Sud-Ouest,Active learning for teaching a robot grounded relational symbols
35," Ben-Gurion University of the Negev, Israel"," Ben-Gurion University of the Negev, Israel",Adaptive thresholding in structure learning of a Bayesian network
36," Centre for Quantum Computation & Intelligent Systems, University of Technology, Sydney, Australia"," Centre for Quantum Computation & Intelligent Systems, University of Technology, Sydney, Australia",A Bayesian factorised covariance model for image analysis
37," Department of ECE, Northeastern University, Boston, MA"," Department of ECE and College of CIS, Northeastern University, Boston, MA",Low-rank coding with b-matching constraint for semi-supervised classification
38," Department of Computer and Information Sciences, Temple University Philadelphia, PA"," Department of Computer and Information Sciences, Temple University Philadelphia, PA",Active learning with multi-label SVM classification
39," University of Illinois at Urbana-Champaign, Urbana, IL"," University of Illinois at Urbana-Champaign, Urbana, IL",Large-scale spectral clustering on graphs
40," Department of Electronic and Electrical Engineering, University of Sheffield, UK"," Department of Electronic and Electrical Engineering, University of Sheffield, UK",Learning discriminative representations from RGB-D video data
41," Duke University, Durham, NC"," Duke University, Durham, NC",Online expectation maximization for reinforcement learning in POMDPs
42," School of Information Engineering, Zhengzhou University, China"," School of Information Engineering, Zhengzhou University, China",The multi-feature information bottleneck with application to unsupervised image categorization
