,first-author-affiliation,last-author-affiliation,title
0,,,Decision-theoretic approximations for machine learning
1," Department of Computer Science, University of Regina, Canada"," Department of Computer Science, University of Regina, Canada",Managing qualitative preferences and constraints in a dynamic environment
2," Vrije Universiteit Brussel, Department of Computer Science, Brussel, Belgium"," Ghent University, Department of Applied Mathematics, Computer Science and Statistics, Gent, Belgium",Towards a deeper understanding of nonmonotonic reasoning with degrees
3," University of New South Wales, Sydney, Australia"," University of New South Wales, Sydney, Australia",Capabilities in heterogeneous multi robot systems
4," Artificial Intelligence Research Institute, IIIA-CSIC, Catalonia, Spain"," Artificial Intelligence Research Institute, IIIA-CSIC, Catalonia, Spain",Negotiation algorithms for large agreement spacess
5," School of Computer Engineering, Nanyang Technological University, Singapore"," School of Computer Engineering, Nanyang Technological University, Singapore",Trust modeling for opinion evaluation by coping with subjectivity and dishonesty
6," Department of Computer Science, Sun Yat-Sen University, Guangzhou, China"," Department of Computer Science, Sun Yat-Sen University, Guangzhou, China",High-level program execution in multi-agent settings
7," Computer Science and Engineering, University of Minnesota"," Computer Science and Engineering, University of Minnesota",Using domain knowledge to systematically guide feature selection
8," Nanyang Technological University, Singapore"," Nanyang Technological University, Singapore",Improving the performance of recommender systems by alleviating the data sparsity and cold start problems
9," Instituto Nacional de Astrofísica, Óptica y Electrónica, Puebla, México"," Instituto Nacional de Astrofísica, Óptica y Electrónica, Puebla, México",Strategic interactions among agents with bounded rationality
10," Cork Constraint Computation Centre, Department of Computer Science, University College Cork, Ireland"," Cork Constraint Computation Centre, Department of Computer Science, University College Cork, Ireland",Problem transformations and algorithm selection for CSPs
11," Department of Computer Science and Engineering, University of Minnesota"," Department of Computer Science and Engineering, University of Minnesota",Rolling dispersion and exploration for robot teams
12," School of Computer Engineering, Nanyang Technological University, Singapore"," School of Computer Engineering, Nanyang Technological University, Singapore",Towards the design of robust trust and reputation systems
13," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong"," Department of Computer Science and Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong",Maintaining soft arc consistencies in BnB-ADOPT+ during search
14," Department of Engineering Mathematics, University of Bristol, UK"," Department of Engineering Mathematics, University of Bristol, UK",Concept generation in language evolution
15," Dept. of Computer Science, University of Bath, United Kingdom"," Dept. of Computer Science, University of Bath, United Kingdom",Normative conflict detection and resolution in cooperating institutions
16," CRIL, Université d'Artois, CNRS, UMR, Lens, France"," CRIL, Université d'Artois, CNRS, UMR, Lens, France",Dynamic of argumentation frameworks
17," Istituto ""Dalle Molle"" di Studi sul'Intelligenza Artificiale, Switzerland"," Istituto ""Dalle Molle"" di Studi sul'Intelligenza Artificiale, Switzerland",Approximation algorithms for max-sum-product problems
18," Artificial Intelligence Lab, Faculty of Computer Science, Institute of Business Administration, Karachi, Pakistan"," Artificial Intelligence Lab, Faculty of Computer Science, Institute of Business Administration, Karachi, Pakistan",On teaching collaboration to a team of autonomous agents via imitation
19," ERIC Laboratory, University Lumière Lyon 2, Lyon, France"," ERIC Laboratory, University Lumière Lyon 2, Lyon, France",Semi-supervised structuring of complex data
20," National Institute of Astrophisics, Optics and Electronics, Computer Science Department"," National Institute of Astrophisics, Optics and Electronics, Computer Science Department",Object recognition based on visual grammars and Bayesian networks
21," Sketch Recognition Lab, Department of Computer Science & Engineering, Texas A&M University, College Station, TX"," Sketch Recognition Lab, Department of Computer Science & Engineering, Texas A&M University, College Station, TX",Adapting surface sketch recognition techniques for surfaceless sketches
22," University of Montpellier, France"," University of Montpellier, France",Ontology based query answering with existential rules
23," School of Computer Science and Information Technology, RMIT University, Melbourne, Australia"," School of Computer Science and Information Technology, RMIT University, Melbourne, Australia",Behavior composition optimization
24," Queen Mary University of London, UK and National University of Defense Technology, China"," National University of Defense Technology, China",Incorporating expert judgement into Bayesian network machine learning
25," School of Physical and Mathematical Sciences, Nanyang Technological University, Singapore"," School of Physical and Mathematical Sciences, Nanyang Technological University, Singapore",Arbitration and stability in cooperative games in overlapping coalitions
