,first-author-affiliation,last-author-affiliation,title
0," University of Bergen, Norway"," Oxford University, United Kingdom",Verifiable equilibria in boolean games
1," Arab Open University, Lebanon"," Université Pierre et Marie Curie, Paris, France",Efficient approach to solve the minimal labeling problem of temporal and spatial qualitative constraints
2," PUC Chile & Univ. of Oxford, UK"," Free U. of Bolzano, Italy",Exchanging OWL 2 QL knowledge bases
3," Faculty of Computer Science, Free University of Bozen-Bolzano, Italy"," Department of Computer Science and Information Systems, Birkbeck, University of London, UK",Temporal description logic for ontology-based data access
4," School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe"," School of Computing, Informatics and Decision Systems Engineering, Arizona State University, Tempe",Functional stable model semantics and answer set programming modulo theories
5," Laboratoires IBISC, Université d'Evry"," Department of Computing, Imperial College London",Decidability of model checking non-uniform artifact-centric quantified interpreted systems
6," Dept. of Computer Science, University of Toronto, Toronto, Ontario, Canada"," Dept. of Computer Science, University of Toronto, Toronto, Ontario, Canada",Reasoning about continuous uncertainty in the situation calculus
7," CRIL, Université d'Artois, Faculté Jean Perrin, France"," Université de Nice Sophia Antipolis, Lab. I3S, France",Syntactic computation of hybrid possibilistic conditioning under uncertain inputs
8," Dep. of Mathematics and Computer Science, Freie Universität Berlin, Germany"," Dep. of Mathematics and Computer Science, Freie Universität Berlin, Germany",Automating quantified conditional logics in HOL
9," CNRS & Université Paris Sud, Orsay, France"," Department of Computer Science, University of Liverpool, UK",First-order rewritability of atomic queries in horn description logics
10," Laboratoire de Recherche en Informatique, CNRS & Université Paris Sud, France"," Institute of Information Systems, Vienna University of Technology, Austria",Conjunctive regular path queries in lightweight description logics
11," Laboratoire de Recherche en Informatique, CNRS & Université Paris Sud, France"," Institute of Information Systems, Vienna University of Technology, Austria",Tractable queries for lightweight description logics
12," Laboratoire de Recherche en Informatique, CNRS & Université Paris-Sud, France"," DIAG, Sapienza Università di Roma, Italy",Tractable approximations of consistent query answering for robust ontology-based data access
13," Computer Science Department, Holon Institute of Technology, Israel"," Computer Science Department, Holon Institute of Technology, Israel",The Markov assumption: formalization and impact
14," TU Dresden, Germany"," Center for Advancing Electronics Dresden, TU Dresden, Germany",Positive subsumption in fuzzy EL with general t-norms
15," Department of Computer Science, University of Oxford, United Kingdom"," Department of Computer Science, University of Oxford, United Kingdom",The impact of disjunction on query answering under guarded-based existential rules
16," Institute of Computer Science, Leipzig University"," Institute of Information Systems, Vienna University of Technology",Abstract dialectical frameworks revisited
17," KRDB Research Centre for Knowledge and Data, Free University of Bozen-Bolzano"," KRDB Research Centre for Knowledge and Data, Free University of Bozen-Bolzano",Verification of inconsistency-aware knowledge and action bases
18," Universidad de Málaga, Spain"," Universidad de Málaga, Spain",Automated reasoning to infer all minimal keys
19," Aix-Marseille Université, CNRS, LIF UMR, Marseille, France"," Vienna University of Technology, Vienna, Austria",Do hard SAT-related reasoning tasks become easier in the Krom fragment?
20," Department of Computer Science, University of Oxford, UK"," Department of Computer Science, University of Oxford, UK",Computing datalog rewritings beyond horn ontologies
