,first-author-affiliation,last-author-affiliation,title
0," Cheriton School of Computer Science, University of Waterloo"," Cheriton School of Computer Science, University of Waterloo",A consensual linear opinion pool
1," Computer Science Department, University of California, Los Angeles"," Computer Science Department, University of California, Los Angeles",An exact algorithm for computing the same-decision probability
2," Department of Computer Science, University of British Columbia, Vancouver"," Department of Computer Science, University of British Columbia, Vancouver",Probabilistic reasoning with undefined properties in ontologically-based belief networks
3," Institute for Computing and Information Sciences, Radboud University Nijmegen, The Netherlands"," Institute for Computing and Information Sciences, Radboud University Nijmegen, The Netherlands",Inference for a new probabilistic constraint logic
4," IBM Research-Tokyo, Tokyo, Japan"," IBM Research-Tokyo, Tokyo, Japan",Map matching with inverse reinforcement learning
5, Hokkaido University, The University of Tokyo,Accurate integration of crowdsourced labels using workers' self-reported confidence scores
6," Microsoft Research, Redmond, WA"," Microsoft Research, Redmond, WA",Look versus leap: computing value of information with high-dimensional streaming evidence
7," Department of Computer Science, The University of Texas at Dallas, Richardson, TX"," Department of Computer Science, The University of Texas at Dallas, Richardson, TX",The inclusion-exclusion rule and its application to the junction tree algorithm
8," IBM Research-Ireland, Damastown, Dublin 15, Ireland"," Department of Computer Science and Engineering, Texas A&M University, College Station, TX",Sample complexity of risk-averse bandit-arm selection
9," Carnegie Mellon University, Computer Science Dept."," Carnegie Mellon University, Machine Learning Dept.",A generalization of SAT and #SAT for robust policy evaluation
